# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Israel,1988,0.004586771060370021,isr,21
Italy,1988,0.12863750568497453,ita,13
Jamaica,1988,0.003417994732265778,jam,9
Japan,1988,0.19756225881276718,jpn,19
Jordan,1988,0.008204269001340483,jor,21
Kazakhstan,1988,0,kaz,10
Kenya,1988,0.0043866669383861075,ken,2
Kiribati,1988,0,kir,29
"Korea, North",1988,0,prk,29
"Korea, South",1988,0.06379896285595248,kor,28
Kosovo,1988,0,srb,15
Kuwait,1988,0.05363151017136439,kwt,21
Kyrgyzstan,1988,0,kgz,10
Laos,1988,0,lao,29
Latvia,1988,0,lva,12
Lebanon,1988,0.004922681583460136,lbn,21
Lesotho,1988,0,lso,4
Liberia,1988,0.002617578244330121,lbr,5
Libya,1988,0.009421118391783204,lby,3
Lithuania,1988,0,ltu,12
Luxembourg,1988,0,lux,13
Macau,1988,0,mac,11
Macedonia,1988,0,mkd,15
Madagascar,1988,4.4828130630630635e-4,mdg,2
Malawi,1988,4.002082439678284e-4,mwi,4
Malaysia,1988,0.014551715969857259,mys,29
Maldives,1988,0,mdv,27
Mali,1988,6.003123659517426e-4,mli,5
Malta,1988,0.0034498431360650197,mlt,12
Martinique,1988,4.4828130630630635e-4,mtq,9
Mauritania,1988,8.004164879356568e-4,mrt,5
Mauritius,1988,0.008221762788725457,mus,2
Mexico,1988,0.020388386651027705,mex,20
Micronesia,1988,0,fsm,29
Moldova,1988,0,mda,14
Mongolia,1988,0,mng,10
Montenegro,1988,0,mne,15
Montserrat,1988,4.078122006032172e-5,msr,9
Morocco,1988,0.002610100479483371,mar,3
Mozambique,1988,0.0030015618297587134,moz,4
Namibia,1988,0,nam,4
Nauru,1988,2.001041219839142e-4,nru,29
Nepal,1988,0,npl,27
Netherlands,1988,0.4332224195287781,nld,13
Netherlands Antilles,1988,0.06628073469917639,ant,9
New Caledonia,1988,0,ncl,29
New Zealand,1988,0.009309348521846245,nzl,6
Nicaragua,1988,0,nic,9
Niger,1988,6.003123659517426e-4,ner,5
Nigeria,1988,0.012167292077868753,nga,5
Niue,1988,0,niu,29
Norway,1988,0.016425363574499433,nor,16
Oman,1988,0.015889348929425406,omn,21
Pakistan,1988,0.004826535458783181,pak,22
Palestinian Territories,1988,0,pse,21
Panama,1988,0.013984453834263217,pan,9
Papua New Guinea,1988,0.0012006247319034853,png,29
Paraguay,1988,4.0578231554597497e-4,pry,26
Peru,1988,0.009829739421660266,per,26
Philippines,1988,0.010021430757734946,phl,29
Poland,1988,0.02297291466500012,pol,12
Portugal,1988,0.009101432527232327,prt,13
Puerto Rico,1988,0.005611328201458832,pri,1
Qatar,1988,0.006051797635135137,qat,21
Reunion,1988,4.002082439678284e-4,reu,2
Romania,1988,0,rom,12
Rwanda,1988,4.002082439678284e-4,rwa,2
Saint Helena,1988,4.3342552821715826e-5,shn,13
Saint Kitts and Nevis,1988,0,kna,9
Saint Lucia,1988,0,lca,9
Saint Pierre and Miquelon,1988,0.0012006247319034853,spm,13
Saint Vincent/Grenadines,1988,0,vct,9
Samoa,1988,0,wsm,29
Sao Tome and Principe,1988,0,stp,5
Saudi Arabia,1988,0.21531924621404244,sau,21
Senegal,1988,0.00991747276042799,sen,5
